Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9824,1.0000,0.7173
1,cable,100.00,0.9908,0.9756,0.9953,0.6189
2,capsule,100.00,0.9685,0.9865,0.9931,0.3875
3,carpet,100.00,0.9948,0.9895,0.9985,0.6308
4,grid,100.00,0.9916,0.9768,0.9971,0.2632
5,hazelnut,100.00,0.9993,0.9870,0.9996,0.5811
6,leather,100.00,1.0000,0.9932,1.0000,0.4519
7,metal_nut,100.00,1.0000,0.9718,1.0000,0.7627
8,pill,100.00,0.9907,0.9900,0.9984,0.8133
9,screw,100.00,0.9217,0.9817,0.9687,0.2291
10,tile,100.00,1.0000,0.9678,1.0000,0.6866
11,toothbrush,100.00,0.9111,0.9848,0.9611,0.5430
12,transistor,100.00,0.9938,0.9676,0.9899,0.6444
13,wood,100.00,0.9895,0.9406,0.9967,0.4643
14,zipper,100.00,0.9900,0.9748,0.9974,0.3516
Mean,Overall,100.00,0.9828*,0.9780*,0.9931*,0.5430*
