timestamp,current_task_id,epoch,bottle_img_auc,bottle_pixel_auc,bottle_routing_acc,cable_img_auc,cable_pixel_auc,cable_routing_acc,capsule_img_auc,capsule_pixel_auc,capsule_routing_acc,carpet_img_auc,carpet_pixel_auc,carpet_routing_acc,grid_img_auc,grid_pixel_auc,grid_routing_acc,mean_img_auc,mean_pixel_auc,mean_routing_acc
2026-01-12 18:19:47,0,59,1.0,0.9753372461577053,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,1.0,0.9753372461577053,1.0
2026-01-12 18:23:18,1,59,0.36984126984126986,0.7874634224521078,1.0,0.8352698650674663,0.9352623546980369,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.6025555674543681,0.8613628885750724,1.0
2026-01-12 18:26:44,2,59,0.5849206349206348,0.8440202519557346,1.0,0.4327211394302848,0.8500116875410932,1.0,0.6250498603909054,0.9659833596008518,1.0,-1,-1,-1.0,-1,-1,-1.0,0.547563878247275,0.8866717663658932,1.0
2026-01-12 18:31:10,3,59,0.6246031746031746,0.7767656497159277,1.0,0.43234632683658175,0.7965928498184375,1.0,0.5576386118867172,0.3275665817229555,1.0,0.949438202247191,0.9868513604096126,1.0,-1,-1,-1.0,0.6410065788934161,0.7219441104167333,1.0
2026-01-12 18:35:23,4,59,0.4793650793650794,0.7573239140933044,1.0,0.4379685157421289,0.8126436138435454,1.0,0.41324291982449146,0.9003606379843317,1.0,0.9983948635634029,0.9467305756533461,1.0,0.7109440267335005,0.9056490229394119,1.0,0.6079830810457206,0.8645415529027879,1.0
