experiment_name,dataset,backbone_name,num_classes,num_epochs,lr,batch_size,seed,lora_rank,num_coupling_layers,dia_n_blocks,lambda_logdet,tail_weight,score_aggregation_top_k,tail_top_k,scale_context_kernel,spatial_context_kernel,use_lora,use_dia,use_whitening_adapter,use_router,use_pos_embedding,use_spatial_context,use_scale_context,use_task_adapter,adapter_mode,cl_scenario,Image_AUC,Pixel_AUC,Pixel_AP,Routing_Acc
VISA-ViT-LoRA128-DIA6-100ep,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,100,0.0001,16,0,128,10,6,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9063,0.9406,0.2691,99.89
VISA-ViT-LoRA128-DIA8-C12,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,100,8e-05,16,0,128,12,8,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9071,0.9423,0.2528,99.89
VISA-ViT-lr1e-4-Coupling8-TailW0.7,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,80,0.0001,16,0,64,8,4,0.0001,0.7,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9024,0.936,0.2388,99.83
VISA-ViT-lr1e-4-DIA6-Coupling10,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,80,0.0001,16,0,64,10,6,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9052,0.9392,0.2375,99.83
VISA-ViT-lr1e-4-LoRA128-TailW0.7,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,80,0.0001,16,0,128,8,4,0.0001,0.7,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9022,0.9359,0.2395,99.83
VISA-ViT-lr1e-4-LogDet2e-4-ScaleK7,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,80,0.0001,16,0,64,8,4,0.0002,,,,7,3,True,True,True,True,True,True,True,True,whitening,1-1,0.898,0.9212,0.261,99.89
VISA-ViT-lr1e-4-TailW0.8-TopK5,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,80,0.0001,16,0,64,8,4,0.0001,0.8,5,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8993,0.932,0.2394,99.83
VISA-ViT-lr5e-5-Coupling8-TailW0.7,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,80,5e-05,16,0,64,8,4,0.0001,0.7,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8941,0.9318,0.2322,99.83
VISA-WRN50-60ep-lr2e4-dia4,visa,wide_resnet50_2,12,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.8378,0.9715,0.2878,100.0
VISA-WRN50-80ep-lr3e4,visa,wide_resnet50_2,12,80,0.0003,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.8272,0.9665,0.2698,100.0
VISA-WRN50-Coupling12-TailW0.7,visa,wide_resnet50_2,12,80,0.0003,16,0,64,12,4,0.0001,0.7,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8145,0.9657,0.2635,100.0
VISA-WRN50-DIA6-80ep,visa,wide_resnet50_2,12,80,0.0002,16,0,64,8,6,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.8376,0.9687,0.275,100.0
VISA-WRN50-LoRA128-80ep,visa,wide_resnet50_2,12,80,0.0002,16,0,128,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.8202,0.9634,0.2571,100.0
VISA-WRN50-LoRA128-DIA4-TailW0.7,visa,wide_resnet50_2,12,80,0.0003,16,0,128,10,4,0.0001,0.7,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8096,0.9619,0.2605,100.0
VISA-WRN50-LoRA128-DIA6-Combined,visa,wide_resnet50_2,12,80,0.0002,16,0,128,8,6,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.8566,0.9687,0.2761,100.0
VISA-WRN50-LoRA128-DIA6-TailW0.7,visa,wide_resnet50_2,12,80,0.0003,16,0,128,10,6,0.0001,0.7,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8182,0.9669,0.2652,100.0
VISA-WRN50-LoRA64-DIA6-TailW0.7,visa,wide_resnet50_2,12,80,0.0003,16,0,64,10,6,0.0001,0.7,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8164,0.9669,0.2647,100.0
VISA-WRN50-TailW0.6-TopK3-ScaleK7,visa,wide_resnet50_2,12,80,0.0003,16,0,64,10,4,0.0001,0.6,3,,7,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8066,0.9613,0.2616,100.0
VISA-WRN50-TailW0.7-TopK3-ScaleK5-Baseline,visa,wide_resnet50_2,12,80,0.0003,16,0,64,10,4,0.0001,0.7,3,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8107,0.9623,0.2608,100.0
VISA-WRN50-TailW0.7-TopK5-ScaleK5,visa,wide_resnet50_2,12,80,0.0003,16,0,64,10,4,0.0001,0.7,5,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8258,0.9623,0.2608,100.0
VISA-WRN50-TailW0.75-TopK4-ScaleK5,visa,wide_resnet50_2,12,80,0.0003,16,0,64,10,4,0.0001,0.75,4,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8174,0.9611,0.2612,100.0
VISA-WRN50-TailW0.8-TopK3-ScaleK5,visa,wide_resnet50_2,12,80,0.0003,16,0,64,10,4,0.0001,0.8,3,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8114,0.9607,0.259,100.0
VISA-WRN50-lr2e-4-TailW0.7,visa,wide_resnet50_2,12,80,0.0002,16,0,64,10,4,0.0001,0.7,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.8082,0.9611,0.2529,100.0
