experiment_name,dataset,backbone_name,num_classes,num_epochs,lr,batch_size,seed,lora_rank,num_coupling_layers,dia_n_blocks,lambda_logdet,tail_weight,score_aggregation_top_k,tail_top_k,scale_context_kernel,spatial_context_kernel,use_lora,use_dia,use_whitening_adapter,use_router,use_pos_embedding,use_spatial_context,use_scale_context,use_task_adapter,adapter_mode,cl_scenario,Image_AUC,Pixel_AUC,Pixel_AP,Routing_Acc
MVTec-WRN50-DIA8,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,8,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9825,0.9732,0.4546,100.0
MVTec-WRN50-DIA8-ScaleCtxK5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,8,1e-05,,,,5,3,True,True,True,True,True,True,True,True,whitening,,0.9809,0.9744,0.4725,100.0
MVTec-WRN50-DIA8-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,8,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9821,0.9733,0.4541,100.0
MVTec-WRN50-FullBest-80ep-lr3e-4-LoRA128-C10-DIA5-TailW0.55-TailTopK3-ScaleCtxK5,mvtec,wide_resnet50_2,15,80,0.0003,16,0,128,10,5,0.0001,0.55,,3,5,3,True,True,True,True,True,True,True,True,whitening,,0.9836,0.978,0.5242,100.0
MVTec-WRN50-GlobalContext,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9797,0.9737,0.4711,100.0
MVTec-WRN50-LoRA128,mvtec,wide_resnet50_2,15,60,0.0002,16,0,128,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9794,0.9736,0.4736,100.0
MVTec-WRN50-LoRA256,mvtec,wide_resnet50_2,15,60,0.0002,16,0,256,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9796,0.9737,0.4741,100.0
MVTec-WRN50-LoRA32,mvtec,wide_resnet50_2,15,60,0.0002,16,0,32,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9794,0.9736,0.4737,100.0
MVTec-WRN50-LogdetReg1e-4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9808,0.9752,0.5055,100.0
MVTec-WRN50-LogdetReg1e-4-DIA6,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,6,0.0001,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9819,0.9753,0.4923,100.0
