timestamp,current_task_id,epoch,bottle_img_auc,bottle_pixel_auc,bottle_routing_acc,cable_img_auc,cable_pixel_auc,cable_routing_acc,capsule_img_auc,capsule_pixel_auc,capsule_routing_acc,carpet_img_auc,carpet_pixel_auc,carpet_routing_acc,grid_img_auc,grid_pixel_auc,grid_routing_acc,leather_img_auc,leather_pixel_auc,leather_routing_acc,metal_nut_img_auc,metal_nut_pixel_auc,metal_nut_routing_acc,pill_img_auc,pill_pixel_auc,pill_routing_acc,screw_img_auc,screw_pixel_auc,screw_routing_acc,tile_img_auc,tile_pixel_auc,tile_routing_acc,toothbrush_img_auc,toothbrush_pixel_auc,toothbrush_routing_acc,transistor_img_auc,transistor_pixel_auc,transistor_routing_acc,wood_img_auc,wood_pixel_auc,wood_routing_acc,zipper_img_auc,zipper_pixel_auc,zipper_routing_acc,mean_img_auc,mean_pixel_auc,mean_routing_acc
2025-12-30 06:40:47,0,79,1.0,0.9038475684850462,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,1.0,0.9038475684850462,1.0
2025-12-30 06:43:48,1,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9610194902548725,0.908522226322695,1.0
2025-12-30 06:46:49,2,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.8970285499452109,0.9137068368363628,1.0
2025-12-30 06:50:47,3,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9155482984942211,0.922648309107034,1.0
2025-12-30 06:54:35,4,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9199073104745749,0.9194100292497914,1.0
2025-12-30 06:58:25,5,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,1.0,0.9488174336638663,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9332560920621457,0.924311263318804,1.0
2025-12-30 07:01:57,6,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,1.0,0.9488174336638663,1.0,0.9819159335288368,0.9469332906323783,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9402074979859586,0.9275429815064574,1.0
2025-12-30 07:06:11,7,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,1.0,0.9488174336638663,1.0,0.9819159335288368,0.9469332906323783,1.0,0.8832515002727768,0.9421963216488928,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.933087998271811,0.9293746490242618,1.0
2025-12-30 07:11:14,8,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,1.0,0.9488174336638663,1.0,0.9819159335288368,0.9469332906323783,1.0,0.8832515002727768,0.9421963216488928,1.0,0.4295962287353966,0.8570667852143062,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.8771444683233205,0.9213404419342667,1.0
2025-12-30 07:15:26,9,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,1.0,0.9488174336638663,1.0,0.9819159335288368,0.9469332906323783,1.0,0.8832515002727768,0.9421963216488928,1.0,0.4295962287353966,0.8570667852143062,1.0,1.0,0.897470234427664,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.8894300214909885,0.9189534211836063,1.0
2025-12-30 07:17:50,10,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,1.0,0.9488174336638663,1.0,0.9819159335288368,0.9469332906323783,1.0,0.8832515002727768,0.9421963216488928,1.0,0.4295962287353966,0.8570667852143062,1.0,1.0,0.897470234427664,1.0,0.9500000000000001,0.9337913763914276,0.9761904761904762,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.8949363831736258,0.9203023262024992,0.9978354978354979
2025-12-30 07:22:12,11,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,1.0,0.9488174336638663,1.0,0.9819159335288368,0.9469332906323783,1.0,0.8832515002727768,0.9421963216488928,1.0,0.4295962287353966,0.8570667852143062,1.0,1.0,0.897470234427664,1.0,0.9500000000000001,0.9337913763914276,0.9761904761904762,0.8062500000000001,0.9484318644434405,1.0,-1,-1,-1.0,-1,-1,-1.0,0.8875458512424904,0.9226464543892443,0.998015873015873
2025-12-30 07:27:03,12,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,1.0,0.9488174336638663,1.0,0.9819159335288368,0.9469332906323783,1.0,0.8832515002727768,0.9421963216488928,1.0,0.4295962287353966,0.8570667852143062,1.0,1.0,0.897470234427664,1.0,0.9500000000000001,0.9337913763914276,0.9761904761904762,0.8062500000000001,0.9484318644434405,1.0,0.9833333333333334,0.893846084892577,1.0,-1,-1,-1.0,0.8949141190956322,0.920431041351039,0.9981684981684982
2025-12-30 07:31:54,13,79,1.0,0.9038475684850462,1.0,0.9220389805097451,0.9131968841603437,1.0,0.7690466693258875,0.9240760578636983,1.0,0.971107544141252,0.9494727259190477,1.0,0.9373433583959899,0.9064569098208212,1.0,1.0,0.9488174336638663,1.0,0.9819159335288368,0.9469332906323783,1.0,0.8832515002727768,0.9421963216488928,1.0,0.4295962287353966,0.8570667852143062,1.0,1.0,0.897470234427664,1.0,0.9500000000000001,0.9337913763914276,0.9761904761904762,0.8062500000000001,0.9484318644434405,1.0,0.9833333333333334,0.893846084892577,1.0,0.9335609243697478,0.9019024188577187,1.0,0.8976746051866404,0.9191075683158019,0.9982993197278912
