Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9038,1.0000,0.2770
1,cable,100.00,0.9220,0.9132,0.9530,0.4470
2,capsule,100.00,0.7690,0.9241,0.9391,0.0987
3,carpet,100.00,0.9711,0.9495,0.9919,0.3677
4,grid,100.00,0.9373,0.9065,0.9768,0.1232
5,leather,100.00,1.0000,0.9488,1.0000,0.1243
6,metal_nut,100.00,0.9819,0.9469,0.9954,0.5395
7,pill,100.00,0.8833,0.9422,0.9753,0.3067
8,screw,100.00,0.4296,0.8571,0.7366,0.0276
9,tile,100.00,1.0000,0.8975,1.0000,0.5349
10,toothbrush,97.62,0.9500,0.9338,0.9792,0.1176
11,transistor,100.00,0.8063,0.9484,0.8044,0.6685
12,wood,100.00,0.9833,0.8938,0.9951,0.4144
13,zipper,100.00,0.9336,0.9019,0.9647,0.1801
Mean,Overall,99.83,0.8977*,0.9191*,0.9508*,0.3019*
