Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9319,1.0000,0.0555
1,grid,100.00,0.8429,0.8915,0.9382,0.1083
2,transistor,100.00,0.7842,0.9320,0.7764,0.5636
3,screw,100.00,0.3560,0.8355,0.6977,0.0187
Mean,Overall,100.00,0.7458*,0.8977*,0.8531*,0.1865*
