Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9803,1.0000,0.6645
1,cable,100.00,0.9906,0.9793,0.9952,0.6462
2,capsule,100.00,0.9713,0.9862,0.9935,0.3716
3,carpet,100.00,0.9964,0.9886,0.9989,0.5817
4,grid,100.00,0.9825,0.9763,0.9939,0.2587
5,hazelnut,100.00,0.9993,0.9855,0.9996,0.5567
6,leather,100.00,1.0000,0.9917,1.0000,0.3808
7,metal_nut,100.00,1.0000,0.9750,1.0000,0.7994
8,pill,100.00,0.9932,0.9891,0.9988,0.7947
9,screw,100.00,0.9291,0.9856,0.9703,0.2148
10,tile,100.00,1.0000,0.9638,1.0000,0.6031
11,toothbrush,100.00,0.9194,0.9847,0.9640,0.5072
12,transistor,100.00,0.9892,0.9675,0.9793,0.6333
13,wood,100.00,0.9921,0.9404,0.9976,0.4655
14,zipper,100.00,0.9911,0.9767,0.9978,0.3852
Mean,Overall,100.00,0.9836*,0.9780*,0.9926*,0.5242*
