timestamp,current_task_id,epoch,bottle_img_auc,bottle_pixel_auc,bottle_routing_acc,cable_img_auc,cable_pixel_auc,cable_routing_acc,capsule_img_auc,capsule_pixel_auc,capsule_routing_acc,carpet_img_auc,carpet_pixel_auc,carpet_routing_acc,grid_img_auc,grid_pixel_auc,grid_routing_acc,hazelnut_img_auc,hazelnut_pixel_auc,hazelnut_routing_acc,leather_img_auc,leather_pixel_auc,leather_routing_acc,metal_nut_img_auc,metal_nut_pixel_auc,metal_nut_routing_acc,pill_img_auc,pill_pixel_auc,pill_routing_acc,screw_img_auc,screw_pixel_auc,screw_routing_acc,tile_img_auc,tile_pixel_auc,tile_routing_acc,toothbrush_img_auc,toothbrush_pixel_auc,toothbrush_routing_acc,transistor_img_auc,transistor_pixel_auc,transistor_routing_acc,wood_img_auc,wood_pixel_auc,wood_routing_acc,zipper_img_auc,zipper_pixel_auc,zipper_routing_acc,mean_img_auc,mean_pixel_auc,mean_routing_acc
2026-01-03 06:16:53,0,79,1.0,0.9802745878461568,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,1.0,0.9802745878461568,1.0
2026-01-03 06:24:34,1,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9953148425787106,0.9797789267285737,1.0
2026-01-03 06:31:53,2,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9873033666652912,0.9819151499215263,1.0
2026-01-03 06:41:21,3,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9895746357533824,0.9835902462537098,1.0
2026-01-03 06:50:18,4,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9881509366728813,0.9821254868423239,1.0
2026-01-03 07:03:25,5,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.990006732941687,0.9826933330722976,1.0
2026-01-03 07:12:16,6,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,1.0,0.9916715291488835,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9914343425214459,0.9839759325118098,1.0
2026-01-03 07:20:15,7,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,1.0,0.9916715291488835,1.0,1.0,0.9750401225388363,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9925050497062652,0.9828589562651882,1.0
2026-01-03 07:29:55,8,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,1.0,0.9916715291488835,1.0,1.0,0.9750401225388363,1.0,0.9931805782869613,0.9891301230559597,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9925801084374536,0.9835557525752738,1.0
2026-01-03 07:41:41,9,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,1.0,0.9916715291488835,1.0,1.0,0.9750401225388363,1.0,0.9931805782869613,0.9891301230559597,1.0,0.9290838286534127,0.9855917265458803,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9862304804590496,0.9837593499723345,1.0
2026-01-03 07:50:46,10,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,1.0,0.9916715291488835,1.0,1.0,0.9750401225388363,1.0,0.9931805782869613,0.9891301230559597,1.0,0.9290838286534127,0.9855917265458803,1.0,1.0,0.9638203474756526,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9874822549627723,0.981946713381727,1.0
2026-01-03 07:54:35,11,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,1.0,0.9916715291488835,1.0,1.0,0.9750401225388363,1.0,0.9931805782869613,0.9891301230559597,1.0,0.9290838286534127,0.9855917265458803,1.0,1.0,0.9638203474756526,1.0,0.9194444444444445,0.9847068789433634,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9818124374195784,0.9821767271785301,1.0
2026-01-03 08:03:27,12,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,1.0,0.9916715291488835,1.0,1.0,0.9750401225388363,1.0,0.9931805782869613,0.9891301230559597,1.0,0.9290838286534127,0.9855917265458803,1.0,1.0,0.9638203474756526,1.0,0.9194444444444445,0.9847068789433634,1.0,0.9891666666666666,0.9675153278565611,1.0,-1,-1,-1.0,-1,-1,-1.0,0.982378147361662,0.9810489272306863,1.0
2026-01-03 08:13:25,13,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,1.0,0.9916715291488835,1.0,1.0,0.9750401225388363,1.0,0.9931805782869613,0.9891301230559597,1.0,0.9290838286534127,0.9855917265458803,1.0,1.0,0.9638203474756526,1.0,0.9194444444444445,0.9847068789433634,1.0,0.9891666666666666,0.9675153278565611,1.0,0.9921052631578947,0.9404121150946724,1.0,-1,-1,-1.0,0.9830729413471071,0.9781462977923995,1.0
2026-01-03 08:23:30,14,79,1.0,0.9802745878461568,1.0,0.9906296851574212,0.9792832656109904,1.0,0.9712804148384524,0.9861875963074318,1.0,0.9963884430176565,0.9886155352502606,1.0,0.9824561403508771,0.97626644919678,1.0,0.9992857142857142,0.9855325642221657,1.0,1.0,0.9916715291488835,1.0,1.0,0.9750401225388363,1.0,0.9931805782869613,0.9891301230559597,1.0,0.9290838286534127,0.9855917265458803,1.0,1.0,0.9638203474756526,1.0,0.9194444444444445,0.9847068789433634,1.0,0.9891666666666666,0.9675153278565611,1.0,0.9921052631578947,0.9404121150946724,1.0,0.9910714285714286,0.9766890201554712,1.0,0.9836061738287286,0.9780491459499375,1.0
