Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9668,1.0000,0.4738
1,cable,100.00,0.9925,0.9767,0.9959,0.6429
2,capsule,100.00,0.9637,0.9843,0.9916,0.3048
3,carpet,100.00,0.9880,0.9809,0.9966,0.4119
4,grid,100.00,0.9908,0.9741,0.9969,0.1803
5,hazelnut,100.00,1.0000,0.9846,1.0000,0.5212
6,leather,100.00,1.0000,0.9792,1.0000,0.2021
7,metal_nut,100.00,1.0000,0.9828,1.0000,0.8543
8,pill,100.00,0.9828,0.9884,0.9970,0.8002
9,screw,100.00,0.9266,0.9861,0.9723,0.2123
10,tile,100.00,1.0000,0.9563,1.0000,0.6412
11,toothbrush,100.00,0.9194,0.9794,0.9652,0.3484
12,transistor,100.00,1.0000,0.9711,1.0000,0.6547
13,wood,100.00,0.9895,0.9224,0.9968,0.3361
14,zipper,100.00,0.9913,0.9723,0.9977,0.2857
Mean,Overall,100.00,0.9830*,0.9737*,0.9940*,0.4580*
